Hostname,IP,Set,Stripe
njscss4n0903,172.18.78.27,3,2
njscss4n1403,172.18.78.47,3,2
njscss4p0601,172.18.79.19,3,2
njscss4p0903,172.18.79.39,3,2
njscss4p1205,172.18.77.35,3,2
tjscssa0202,172.16.75.10,3,2
tjscssd1103,172.16.75.27,3,2
tjscssb1204,172.16.76.22,3,2
tjscssc1305,172.16.76.41,3,2
tjscssb0703,172.16.77.11,3,2
tjscssc1101,172.16.77.13,3,2
tjscssc0801,172.16.77.31,3,2
tjscssb0502,172.16.78.6,3,2
tjscssc0301,172.16.78.25,3,2
tjscssd0104,172.16.78.46,3,2
tjscssd0706,172.16.79.18,3,2
tjscssd0406,172.16.79.36,3,2
hzscssa1603,172.20.75.7,3,2
hzscssa2005,172.20.75.27,3,2
hzscssb0701,172.20.76.7,3,2
hzscssb1103,172.20.76.27,3,2
hzscssb1603,172.20.76.47,3,2
hzscssb2005,172.20.79.11,3,2
hzscssc0401,172.20.77.7,3,2
hzscssc0703,172.20.77.27,3,2
hzscssc1005,172.20.77.47,3,2
hzscssc1401,172.20.78.19,3,2
hzscssc1703,172.20.78.39,3,2
hzscssc2005,172.20.79.35,3,2
njscss4k0202,172.18.75.8,3,3
njscss4k0504,172.18.75.28,3,3
njscss4l0406,172.18.75.48,3,3
njscss4l0802,172.18.76.20,3,3
njscss4l1104,172.18.76.40,3,3
njscss4l1406,172.18.77.12,3,3
njscss4n0404,172.18.78.8,3,3
njscss4n0904,172.18.78.28,3,3
njscss4n1404,172.18.78.48,3,3
njscss4p0602,172.18.79.20,3,3
njscss4p0904,172.18.79.40,3,3
njscss4p1206,172.18.77.36,3,3
tjscssa0302,172.16.75.6,3,3
tjscssd1104,172.16.75.28,3,3
tjscssd0804,172.16.75.46,3,3
tjscssb1306,172.16.76.18,3,3
tjscssc1306,172.16.76.42,3,3
tjscssb0704,172.16.77.12,3,3
tjscssc1102,172.16.77.14,3,3
tjscssc0802,172.16.77.32,3,3
tjscssb0602,172.16.78.2,3,3
tjscssc0302,172.16.78.26,3,3
tjscssd0702,172.16.79.14,3,3
tjscssd0301,172.16.79.37,3,3
hzscssa1604,172.20.75.8,3,3
hzscssa2006,172.20.75.28,3,3
hzscssb0702,172.20.76.8,3,3
hzscssb1104,172.20.76.28,3,3
hzscssb1604,172.20.76.48,3,3
hzscssb2006,172.20.79.12,3,3
hzscssc0402,172.20.77.8,3,3
hzscssc0704,172.20.77.28,3,3
hzscssc1006,172.20.77.48,3,3
hzscssc1402,172.20.78.20,3,3
hzscssc1704,172.20.78.40,3,3
hzscssc2006,172.20.79.36,3,3
njscss4k0203,172.18.75.9,3,4
njscss4k0505,172.18.75.29,3,4
njscss4l0501,172.18.76.1,3,4
njscss4l0803,172.18.76.21,3,4
njscss4l1105,172.18.76.41,3,4
njscss4m1501,172.18.77.13,3,4
njscss4n0501,172.18.78.9,3,4
